figure_id,panel_id,analytical_question,takeaway,input_path,input_sha256,source_commit,simulation_commit,analysis_commit,mesh,condition_family,solver_acceptance_rule,muscle_names_and_indices,phase_window,metric_formula,source_csv,plotting_script,pdf_path,svg_path,png_path,generated_at,qa_status
Fig5,B-E,Is hamstring stretch explained by pelvis absolute angle or pelvis-femur configuration?,tree-rigid dMTU~0; femur-fixed reproduces most of adaptive terminal-swing MTU rise.,Scaled_FullBody_HamnerModel...osim; Nominal.mot; PelvisTDwide_m8.mot,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (adaptive) + geometric counterfactuals,Nominal N=100 vs PelvisTDwide_m8 (adaptive); tree-rigid/femur-fixed,adaptive strict Solve_Succeeded,semimem_l/semiten_l/bifemlh_l/bifemsh_l (OpenSim MTU),full phase; TS = last 15%,"dMTU=10*(MTU-Nominal) mm, phase-normalized",source_data/Fig5_mtu_waveforms_source.csv ; source_data/Fig5_mtu_peaks_source.csv,scripts/Fig5_compute_mtu.py (opencap) + scripts/Fig5_pelvis_femur_mechanism.py,figures/pdf/Fig5_pelvis_femur_mechanism.pdf,figures/svg/Fig5_pelvis_femur_mechanism.svg,figures/png/Fig5_pelvis_femur_mechanism.png,2026-08-19 17:08:48,auto-pass (20 checks) + visual-pass 2026-08-19
Fig5,F,How much of adaptive terminal-swing stretch does femur-fixed explain?,femur-fixed / adaptive TS peak = 89.6-95.8% for the 3 biarticular muscles.,Scaled_FullBody_HamnerModel...osim; Nominal.mot; PelvisTDwide_m8.mot,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100 (adaptive) + geometric counterfactuals,Nominal N=100 vs PelvisTDwide_m8 (adaptive); tree-rigid/femur-fixed,adaptive strict Solve_Succeeded,semimem_l/semiten_l/bifemlh_l/bifemsh_l (OpenSim MTU),TS (last 15%),"100*B_peak/C_peak (ratio, not mediation)",source_data/Fig5_mtu_waveforms_source.csv ; source_data/Fig5_mtu_peaks_source.csv,scripts/Fig5_compute_mtu.py (opencap) + scripts/Fig5_pelvis_femur_mechanism.py,figures/pdf/Fig5_pelvis_femur_mechanism.pdf,figures/svg/Fig5_pelvis_femur_mechanism.svg,figures/png/Fig5_pelvis_femur_mechanism.png,2026-08-19 17:08:48,auto-pass (20 checks) + visual-pass 2026-08-19
Fig6,A,Was the requested touchdown angle actually achieved?,Strict solves lie on identity; failed/acceptable deviate.,final_source_manifest.csv,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=50 & N=100 (all attempts),all PelvisTD (standard+wide) + full discovery set,strict Solve_Succeeded vs Solved_To_Acceptable_Level vs failed,n/a (solver-level figure),touchdown,achieved -pelvis_tilt vs base+offset,source_data/Fig6_all_attempts.csv ; source_data/Fig6_exclusion_flow.csv,scripts/Fig6_numerical_robustness.py,figures/pdf/Fig6_numerical_robustness.pdf,figures/svg/Fig6_numerical_robustness.svg,figures/png/Fig6_numerical_robustness.png,2026-08-19 16:50:25,auto-pass (20 checks) + visual-pass 2026-08-19
Fig6,B,Do adopted solutions satisfy the constraint?,"8 primary inf_pr ~1e-9..1e-7, far below 1e-4; failures >1e-2.",final_source_manifest.csv,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=50 & N=100 (all attempts),all PelvisTD (standard+wide) + full discovery set,strict Solve_Succeeded vs Solved_To_Acceptable_Level vs failed,n/a (solver-level figure),solver,final inf_pr (log),source_data/Fig6_all_attempts.csv ; source_data/Fig6_exclusion_flow.csv,scripts/Fig6_numerical_robustness.py,figures/pdf/Fig6_numerical_robustness.pdf,figures/svg/Fig6_numerical_robustness.svg,figures/png/Fig6_numerical_robustness.png,2026-08-19 16:50:25,auto-pass (20 checks) + visual-pass 2026-08-19
Fig6,C,Is the result an artefact of speed differences?,Adopted 8 cluster at ~11.75-11.80 m/s; failures collapse to low speed.,final_source_manifest.csv,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=50 & N=100 (all attempts),all PelvisTD (standard+wide) + full discovery set,strict Solve_Succeeded vs Solved_To_Acceptable_Level vs failed,n/a (solver-level figure),whole stride,ave_speed vs achieved anterior tilt,source_data/Fig6_all_attempts.csv ; source_data/Fig6_exclusion_flow.csv,scripts/Fig6_numerical_robustness.py,figures/pdf/Fig6_numerical_robustness.pdf,figures/svg/Fig6_numerical_robustness.svg,figures/png/Fig6_numerical_robustness.png,2026-08-19 16:50:25,auto-pass (20 checks) + visual-pass 2026-08-19
Fig6,D,How were 8 conditions selected from all attempts?,95 discovered -> 8 strict wide N=100 -> 8 adopted.,final_source_manifest.csv,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=50 & N=100 (all attempts),all PelvisTD (standard+wide) + full discovery set,strict Solve_Succeeded vs Solved_To_Acceptable_Level vs failed,n/a (solver-level figure),n/a,discovery/selection funnel,source_data/Fig6_all_attempts.csv ; source_data/Fig6_exclusion_flow.csv,scripts/Fig6_numerical_robustness.py,figures/pdf/Fig6_numerical_robustness.pdf,figures/svg/Fig6_numerical_robustness.svg,figures/png/Fig6_numerical_robustness.png,2026-08-19 16:50:25,auto-pass (20 checks) + visual-pass 2026-08-19
Fig7,A,Can we compute candidates with low surrogate at small speed loss?,w=0.05/0.1 meet the pre-registered target; w=0.2 exceeds the speed-loss budget.,HamPareto_N100/checkpoint.csv + referenced MAT,see pareto_checkpoint_audit.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,"HamPareto_Nom (w=0,0.05,0.1,0.2), 3 warm-start paths",strict Solve_Succeeded,biarticular semimem/semiten/bifemlh (L6-8/R52-54),whole stride (speed); terminal-swing window (surrogate),dSpeed=100*(v-v0)/v0; dSurro on biartic TS-window peak lMtilde mean,source_data/Fig7_pareto_N100_source.csv,scripts/Fig7_pareto_N100.py,figures/pdf/Fig7_pareto_N100.pdf,figures/svg/Fig7_pareto_N100.svg,figures/png/Fig7_pareto_N100.png,2026-08-19 17:14:41,auto-pass (20 checks) + visual-pass 2026-08-19
Fig7,B,How does the surrogate reduction appear in the waveform?,w=0.1 lowers the terminal-swing lMtilde peak of all 3 biarticular muscles.,HamPareto_N100/checkpoint.csv + referenced MAT,see pareto_checkpoint_audit.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,"HamPareto_Nom (w=0,0.05,0.1,0.2), 3 warm-start paths",strict Solve_Succeeded,biarticular semimem/semiten/bifemlh (L6-8/R52-54),full stride; TS shaded,lMtilde=lM/lMo,source_data/Fig7_pareto_N100_source.csv,scripts/Fig7_pareto_N100.py,figures/pdf/Fig7_pareto_N100.pdf,figures/svg/Fig7_pareto_N100.svg,figures/png/Fig7_pareto_N100.png,2026-08-19 17:14:41,auto-pass (20 checks) + visual-pass 2026-08-19
Fig7,C,What kinematics change between w=0 and w=0.1?,"Reduced terminal-swing hip flexion / posture shift, not an absolute-angle claim.",HamPareto_N100/checkpoint.csv + referenced MAT,see pareto_checkpoint_audit.csv / sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,"HamPareto_Nom (w=0,0.05,0.1,0.2), 3 warm-start paths",strict Solve_Succeeded,biarticular semimem/semiten/bifemlh (L6-8/R52-54),full stride,"q(w0.1)-q(w0) per coordinate, phase-normalized",source_data/Fig7_pareto_N100_source.csv,scripts/Fig7_pareto_N100.py,figures/pdf/Fig7_pareto_N100.pdf,figures/svg/Fig7_pareto_N100.svg,figures/png/Fig7_pareto_N100.png,2026-08-19 17:14:41,auto-pass (20 checks) + visual-pass 2026-08-19
FigS1,A-C,"Where on the length axis do the biarticular hamstrings operate, and how does tilt shift it?",More anterior tilt shifts the terminal-swing operating point to longer lMtilde at similar/higher Fce.,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat; pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide p6 & m8,strict Solve_Succeeded,"semimem L6/R52, semiten L7/R53, bifemlh L8/R54",full stride; TS thickened,Fce vs lMtilde parametric over stride,source_data/FigS1_force_length_source.csv,scripts/FigS1_force_length.py,figures/pdf/FigS1_force_length.pdf,figures/svg/FigS1_force_length.svg,figures/png/FigS1_force_length.png,2026-08-19 17:11:17,auto-pass (20 checks) + visual-pass 2026-08-19
FigS2,whole,"How does each load surrogate change from min to max anterior tilt, per muscle?",Biarticular peak lMtilde/Fpass/tendon force rise; bifemsh flat; passive force rises most steeply.,pred_sprinting_data_25-June-2026__07-24-05___PelvisTDwide_p6.mat; pred_sprinting_data_24-June-2026__23-17-49___PelvisTDwide_m8.mat,see sha256_manifest.csv,e7b8de9,e7b8de9,e7b8de9,N=100,PelvisTDwide p6 & m8,strict Solve_Succeeded,semimem/semiten/bifemlh/bifemsh L6-9/R52-55,full stride peaks; neg work integral,100*(m8-p6)/|p6| per metric; abs diff for lMtilde,source_data/FigS2_muscle_metric_source.csv,scripts/FigS2_muscle_metric_heatmap.py,figures/pdf/FigS2_muscle_metric_heatmap.pdf,figures/svg/FigS2_muscle_metric_heatmap.svg,figures/png/FigS2_muscle_metric_heatmap.png,2026-08-19 17:11:20,auto-pass (20 checks) + visual-pass 2026-08-19
